"","13620001_HGL","13620001_LGL","13620002_HGL","13620003_HGL","13620003_LGL","13620004_HGL","13620004_LGL","13620006_HGL","13620006_LGL","13620007_HGL","13620011_HGL","13620011_LGL","13620030_HGL","13620030_LGL","13620033_HGL","13620033_LGL","13620041_HGL","13620043_HGL","13620043_LGL","13620056_HGL","13620056_LGL","13620068_HGL","13620068_LGL","13620080_LGL","13620094_HGL","13620094_LGL","13620110_HGL","13620110_LGL","13620116_HGL","13620116_LGL","13620127_HGL","13620127_LGL","13620135_HGL","13620135_LGL","13620147_HGL","13620147_LGL","13620159_HGL","13620159_LGL","13620175_HGL","13620175_LGL","13620195_HGL","13620195_LGL","13620212_HGL","13620212_LGL","13620216_HGL","13620216_LGL","13620253_HGL","13620253_LGL","13620265_HGL","13620265_LGL","13620296_HGL","13620296_LGL","13620306_HGL","13620306_LGL","13620310_HGL","13620310_LGL","13620336_HGL","13620336_LGL","13620346_HGL","13620346_LGL","13620347_HGL","13620347_LGL","13620399_HGL","13620399_LGL","13620400_HGL","13620400_LGL","13620481_HGL","13620481_LGL","13620485_HGL","13620485_LGL","13620543_HGL","13620543_LGL","13620553_HGL","13620553_LGL","13620620_HGL","13620620_LGL","13620636_HGL","13620636_LGL","13620637_HGL","13620637_LGL","13620645_HGL","13620645_LGL","13620656_HGL","13620656_LGL","13620690_HGL","13620690_LGL","13620692_HGL","13620692_LGL","13620696_HGL","13620696_LGL","13620705_HGL","13620705_LGL","13620733_HGL","13620733_LGL","13620734_HGL","13620734_LGL","13620746_HGL","13620746_LGL","13620748_HGL","13620748_LGL","13620753_HGL","13620753_LGL","13620781_HGL","13620781_LGL","13620811_HGL","13620811_LGL","13620834_HGL","13620834_LGL","13620918_HGL","13620918_LGL","13620926_HGL","13620926_LGL","13620930_HGL","13620930_LGL","13620983_HGL","13620983_LGL","13620987_HGL","13620987_LGL","13620991_HGL","13620991_LGL","13621023_HGL","13621023_LGL","13621025_HGL","13621025_LGL","13621026_HGL","13621026_LGL","13621029_HGL","13621029_LGL"
"AA0",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,1.73949386462236,2.93482595431661,5.49231468489253,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,7.35505151337456,2.30334824007938,6.43949847534172,5.31218956917998,4.20360054428166,4.69052884140146,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,7.23029909759219,1.74221321951808,0.91132343198298,3.43028527297778,7.36758948041298,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,3.60182723251491,2.67388653273458,0.752740029393354,0.61011417309531,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,4.19511132978864,1.12092253484347,2.47533655419566,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,5.83718386163917,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,4.60675608084249,0.427466723399244,4.35694664946878,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,6.57481298949664,3.33134693427069,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,3.19453624800743,2.93386530193991,5.61327821608864,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,3.77184333206839,4.97683101520895,5.26613811904621,2.02054131515764,5.31934335673276,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,6.94380414383475,0.459725373900648,7.25426333713149,0.229169511271748,1.12260646265104,1.2700624204801,5.57918618348535,3.59036248846375,2.90092089294003
"AA1",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,6.23032215685419,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,2.94132044509919,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,6.39076053336829,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,5.28391436625657,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,2.3959922977796,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,3.82025045703506,1.80610541941656,2.67388653273458,0.752740029393354,-0.999376890324337,4.9688464709691,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,2.08791764281593,4.77065464378324,6.54203977145171,6.07396372462311,4.02607410376072,9.32093815670106,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,3.80232765537692,0.427466723399244,3.46539988329661,1.59249770125988,2.67492836689162,3.48520783005223,5.9615284110172,2.51915689970324,6.35376788892936,2.023865662421,3.84751592804045,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,2.94177114997899,0.406460479092705,2.54213173102312,4.34047681565417,4.21605902038097,2.15950002202322,5.87208506293048,4.24084093140331,3.94010095832933,2.93386530193991,5.72969415090308,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,5.20017474704958,4.80492089830607,2.02054131515764,5.20096332261672,3.10095074406994,3.66625667392709,3.57349571549561,5.36630122943806,2.69483563010198,2.08669885927444,3.44140379982117,6.28102124848908,0.459725373900648,4.71846026858076,3.88539865332834,1.12260646265104,1.2700624204801,2.77201231043418,3.59036248846375,2.90092089294003
"AA10",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,-3.13876556813994,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,-1.40317169253998,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,-0.186521280664895,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,0.814821095646018,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,5.4850564449658,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,-2.56137499414876,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,0.229169511271748,1.12260646265104,1.2700624204801,0.672153750283779,3.59036248846375,2.90092089294003
"AA11",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,3.48022633940843,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,4.9413411054853,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,6.04156716663012,1.12260646265104,1.2700624204801,0.672153750283779,3.59036248846375,5.17934782222815
"AA16",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,0.814821095646018,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,3.04389564769426,1.12260646265104,1.2700624204801,0.672153750283779,3.59036248846375,2.90092089294003
"AA1_2",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,6.93588400748807,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,4.30972917280442,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,6.60331626203671,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,4.70525360859623,1.85899549968276,4.39628966559822,0.0938305716351355,7.31751210654384,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,5.90245712115234,0.387318421046977,0.79480261274549,4.77065464378324,3.94989906250807,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,4.94357912633001,3.10068336173058,0.447991713966946,2.89201986066005,0.814821095646018,0.427466723399244,3.77069163996154,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,4.73886509386174,1.62896018879855,3.28978873485533,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,4.78351427719439,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,3.15298811781044,1.08562180657111,4.65504837274339,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,6.63919887435605,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,7.74465895477421,4.3694315849451,0.459725373900648,3.71846026858076,7.35501626421955,1.12260646265104,1.2700624204801,0.672153750283779,6.45606358776443,4.77990054232337
"AA1_3",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,0.814821095646018,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,4.41908713589536,1.12260646265104,1.2700624204801,2.7870604586837,3.59036248846375,2.90092089294003
"AA2",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,4.45379410767193,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,7.1532986828549,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,4.58758701926048,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,6.2625910095407,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,2.54218869966897,5.45110888296185,5.00638330826746,0.427466723399244,1.73753101980605,1.59249770125988,4.4647336049732,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,4.09758551553387,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,5.37886185044934,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,5.66078033403255,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,3.22127389919642,3.44140379982117,4.3694315849451,0.459725373900648,10.0399608641652,2.19634579948231,1.12260646265104,1.2700624204801,0.672153750283779,3.59036248846375,2.90092089294003
"AA3",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,0.814821095646018,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,2.48525420868707,1.12260646265104,1.2700624204801,0.672153750283779,3.59036248846375,2.90092089294003
"AA3_2",1.623693653154,3.53195530505107,5.24086763798084,0.500914201669457,2.40167688108356,4.49087172999949,4.53280317908939,3.3337385732866,0.839411420441262,1.56470008656946,1.17056605679207,-0.299791131533917,1.8837381037977,-1.23878962956425,2.93482595431661,2.10941071015622,1.36057778522892,0.402885862155716,-0.102424985437691,1.6992851001996,3.35109117571229,2.30334824007938,6.43949847534172,2.35961393622208,4.20360054428166,1.41042251851557,2.47827293146058,3.34401888387281,1.58886691618531,2.65075536994725,1.84848573704943,3.34852988067506,1.74221321951808,0.91132343198298,3.43028527297778,4.7266132708064,1.00827173796354,3.47429325934966,2.124046848228,2.37330298105934,1.50885455234389,2.67388653273458,0.752740029393354,-0.999376890324337,3.58561156746049,0.717043554555607,1.99204327617166,3.16545534814914,3.11392548604585,3.92514493823326,2.74492530617356,1.85899549968276,2.10567137390572,0.0938305716351355,5.41182618562182,2.22767023296842,1.12092253484347,0.23420698810925,0.57823349146546,2.09778606668529,0.387318421046977,0.79480261274549,4.77065464378324,1.93018853606371,6.07396372462311,4.02607410376072,7.469495301982,5.18665505592528,2.64382618140579,1.79599131262834,3.10068336173058,0.447991713966946,0.960541364388579,0.814821095646018,0.427466723399244,0.0912191377681445,1.59249770125988,1.13359640355793,3.48520783005223,4.06937565033899,2.51915689970324,4.40182157552531,2.023865662421,1.62896018879855,1.0345326789386,1.87088153107393,2.22431198913342,3.25290608229195,3.84818724959355,0.572928463059738,0.406460479092705,2.54213173102312,4.34047681565417,2.39645545237662,2.15950002202322,1.82891180773063,4.24084093140331,0.43267083941018,2.93386530193991,2.67977733443784,4.16632178292766,3.71074583234848,2.8159237648705,0.952273918830053,1.08562180657111,1.89484104021662,0.761200156099086,1.21651694858744,1.73842630451768,1.88292471418446,2.02054131515764,2.76936129547692,1.20137038845307,1.89737984708332,3.57349571549561,5.36630122943806,2.69483563010198,0.582681239885538,3.44140379982117,4.3694315849451,0.459725373900648,3.71846026858076,4.990786989887,1.12260646265104,2.66769233615939,0.672153750283779,5.65214800985609,2.90092089294003
